Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Tissue,Library Name,geo_loc_name_country,geo_loc_name_country_continent,BioSampleModel,geo_loc_name,Cultivar,AGE,dev_stage,source_name,Biomaterial_provider,GEO_Accession (exp),AssemblyName,alignment_software (exp),individual,batch_of_trees,gene_perturbation_type,drought_treatment,molecule_subtype,type,Collection_Date,lat_lon,BIOME,estimated_size,feature,isol_growth_condt,material,num_replicons,ploidy,propagation,ref_biomaterial,Run_ID (run),nominal_length (run),isolate,env_package,investigation_type,project_name,Strain,ecotype,replicate,Broker_name,developmental_stage,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,organism_part,sample_name,SRA_accession,Title,Alias,ena_checklist,organism,Treatment,isolation_source,Host,description,Cell_type,collected_by,sample_type,Genotype,overexpressed_gene,transfection_time,days_after_drought_treatment,genetic_background,plant_strain,symbiotic_status,days_after_bending_treatment,Biological.Replicate,Cell_Line,culture_collection,disease,disease_stage,growth_protocol,height_or_length,phenotype,population,sex,Specimen_voucher,Temp,time_of_contact,transfected_genes,fungal_strain,pt_clone,common_name,ena_first_public,ena_last_update,external_id,Geographic_location,growth_condition,Submitter_Id,accession,lb_strain,gender,innoculant,label
SRR1165054,RNA-Seq,36,1266264000,PRJNA237653,SAMN02630925,720130328,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX467488,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2015-07-22T00:00:00Z,GSM1324051,SRP036860,root,,,,,,,,,root,,GSM1324051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control two weeks,,,101-74,,,,,,,,,,,,
SRR1165055,RNA-Seq,36,1269796140,PRJNA237653,SAMN02630928,723238580,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX467489,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2015-07-22T00:00:00Z,GSM1324053,SRP036860,mycorrhizal root tip,,,,,,,,,mycorrhizal root tip,,GSM1324053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,two weeks,,,101-74,,,,,,,,,S238N,,,
SRR1165056,RNA-Seq,36,1179510300,PRJNA237653,SAMN02630927,656330325,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX467490,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2015-07-22T00:00:00Z,GSM1324055,SRP036860,root,,,,,,,,,root,,GSM1324055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control four weeks,,,101-74,,,,,,,,,,,,
SRR1165057,RNA-Seq,36,1199388636,PRJNA237653,SAMN02630931,688410228,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX467491,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2015-07-22T00:00:00Z,GSM1324056,SRP036860,mycorrhizal root tip,,,,,,,,,mycorrhizal root tip,,GSM1324056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,four weeks,,,101-74,,,,,,,,,S238N,,,
SRR1165058,RNA-Seq,36,1073639016,PRJNA237653,SAMN02630930,596262531,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX467492,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2015-07-22T00:00:00Z,GSM1324058,SRP036860,root,,,,,,,,,root,,GSM1324058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control 12 weeks,,,101-74,,,,,,,,,,,,
SRR1165059,RNA-Seq,36,708634980,PRJNA237653,SAMN02630932,358683085,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX467493,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2015-07-22T00:00:00Z,GSM1324059,SRP036860,mycorrhizal root tip,,,,,,,,,mycorrhizal root tip,,GSM1324059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 weeks,,,101-74,,,,,,,,,S238N,,,
SRR3207685,RNA-Seq,68,404787068,PRJNA314500,SAMN04536067,271442936,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1616481,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081649,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081649,,,,NSF1,knockdown of PAL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207686,RNA-Seq,68,275602232,PRJNA314500,SAMN04536068,184432366,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX1616482,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081650,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081650,,,,NSF1,knockdown of PAL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207687,RNA-Seq,68,311013436,PRJNA314500,SAMN04536069,207347224,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1616483,Illumina Genome Analyzer IIx,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081651,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081651,,,,NSF1,knockdown of PAL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3207688,RNA-Seq,100,1545292800,PRJNA314500,SAMN04536065,951754180,GEO,public,"sra,unknown_contigs,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1616764,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Populus trichocarpa,ILLUMINA,2016-03-09T00:00:00Z,GSM2081932,SRP071226,Stem differentiating xylem,,,,,,,,,Stem differentiating xylem,,GSM2081932,,,,NSF5,"knockdown of HCT1,HCT6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
